c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,counta,countb,sum
Beijing,39.92889223,116.3882857,Kuala Lumpur,3.166665872,101.6999833,Beijing to Kuala Lumpur,2,,Damascus,33.500034,36.29999589,1,0,1
Sydney,-33.92001097,151.1851798,Bangkok,13.74999921,100.5166447,Sydney to Bangkok,1,,"Washington, D.C.",38.89954938,-77.00941858,1,1,2
Beijing,39.92889223,116.3882857,Kaohsiung,22.63330711,120.2666019,Beijing to Kaohsiung,1,,Bujumbura,-3.37608722,29.36000606,1,0,1
Paris,48.86669293,2.333335326,Miami,25.7876107,-80.22410608,Paris to Miami,1,,Cairo,30.04996035,31.24996822,1,0,1
Kaohsiung,22.63330711,120.2666019,Hong Kong,22.3049809,114.1850093,Kaohsiung to Hong Kong,1,,Rabat,34.02529909,-6.83613082,2,1,3
Paris,48.86669293,2.333335326,Florida,-34.09900201,-56.21499845,Paris to Florida,1,,Moscow,55.75216412,37.61552283,1,4,5
Beijing,39.92889223,116.3882857,Taipei,25.03583333,121.5683333,Beijing to Taipei,1,,Dakar,14.71583173,-17.47313013,1,0,1
Canberra,-35.28302855,149.1290262,Los Angeles,-37.46000161,-72.35998661,Canberra to Los Angeles,1,,Orlando,28.50997683,-81.38003036,1,0,1
Christchurch,-43.53503131,172.6300207,Frankfurt,50.09997683,8.67501542,Christchurch to Frankfurt,1,,Hong Kong,22.3049809,114.1850093,2,14,16
London,51.49999473,-0.116721844,Edmonton,53.55002464,-113.4999819,London to Edmonton,1,,Islamabad,33.69999595,73.16663448,1,0,1
Chennai,13.08998781,80.27999874,Dhaka,23.72305971,90.40857947,Chennai to Dhaka,1,,Mexico City,19.44244244,-99.1309882,4,0,4
Antananarivo,-18.91663735,47.5166239,Kuala Lumpur,3.166665872,101.6999833,Antananarivo to Kuala Lumpur,1,,Guangzhou,23.1449813,113.3250101,2,4,6
Osaka,34.75003522,135.4601448,Honolulu,21.30687644,-157.8579979,Osaka to Honolulu,1,,Lome,6.131937072,1.222757119,1,0,1
Jakarta,-6.174417705,106.8294376,Abu Dhabi,24.46668357,54.36659338,Jakarta to Abu Dhabi,1,,Villahermosa,17.99997235,-92.89997319,1,0,1
Tokyo,35.68501691,139.7514074,Los Angeles,-37.46000161,-72.35998661,Tokyo to Los Angeles,1,,Managua,12.15301658,-86.26849166,1,0,1
Jakarta,-6.174417705,106.8294376,Munich,48.12994204,11.57499345,Jakarta to Munich,1,,Ottawa,45.4166968,-75.7000153,1,1,2
Jakarta,-6.174417705,106.8294376,Dubai,25.22999615,55.27997432,Jakarta to Dubai,1,,Amsterdam,52.34996869,4.916640176,1,6,7
Jakarta,-6.174417705,106.8294376,Rome,41.89595563,12.48325842,Jakarta to Rome,1,,Doha,25.28655601,51.53296789,3,2,5
Ankara,39.92723859,32.86439164,London,51.49999473,-0.116721844,Ankara to London,1,,Yaounde,3.866700662,11.51665076,1,0,1
Antananarivo,-18.91663735,47.5166239,Beijing,39.92889223,116.3882857,Antananarivo to Beijing,1,,New York,40.74997906,-73.98001693,1,0,1
Dhaka,23.72305971,90.40857947,Tokyo,35.68501691,139.7514074,Dhaka to Tokyo,1,,Nassau,25.08339012,-77.35004378,1,0,1
Tokyo,35.68501691,139.7514074,Bangkok,13.74999921,100.5166447,Tokyo to Bangkok,1,,Johannesburg,-26.17004474,28.03000972,2,1,3
Bangkok,13.74999921,100.5166447,Tehran,35.67194277,51.42434403,Bangkok to Tehran,1,,Abu Dhabi,24.46668357,54.36659338,1,5,6
Miami,25.7876107,-80.22410608,Brasilia,-15.78334023,-47.91605229,Miami to Brasilia,1,,Frankfurt,50.09997683,8.67501542,1,3,4
Sydney,-33.92001097,151.1851798,Munich,48.12994204,11.57499345,Sydney to Munich,1,,Grande Comore,11.7167,43.3681,1,0,1
Mahajanga,-15.67001382,46.34501583,Bangkok,13.74999921,100.5166447,Mahajanga to Bangkok,1,,Berlin,52.52181866,13.40154862,1,2,3
Bangkok,13.74999921,100.5166447,Jakarta,-6.174417705,106.8294376,Bangkok to Jakarta,1,,Gran Canaria,-27.9332,15.3877,1,0,1
London,51.49999473,-0.116721844,Tokyo,35.68501691,139.7514074,London to Tokyo,1,,San Luis Potosi,22.16997622,-100.9999956,3,1,4
Madrid,40.40002626,-3.683351686,Prague,50.08333701,14.46597978,Madrid to Prague,1,,Guadalajara,20.67001609,-103.3300342,3,1,4
Entebbe,0.060395527,32.46002356,Brussels,50.83331708,4.333316608,Entebbe to Brussels,1,,Beirut,33.87197512,35.50970821,1,0,1
Brussels,50.83331708,4.333316608,Berlin,52.52181866,13.40154862,Brussels to Berlin,1,,Panama City,8.96801719,-79.53303715,2,2,4
Nairobi,-1.283346742,36.81665686,Hanoi,21.03332725,105.8500142,Nairobi to Hanoi,1,,Karachi,24.86999229,66.99000891,1,1,2
Canberra,-35.28302855,149.1290262,Dubai,25.22999615,55.27997432,Canberra to Dubai,1,,Detroit,42.32996014,-83.08005579,1,0,1
Damascus,33.500034,36.29999589,Dubai,25.22999615,55.27997432,Damascus to Dubai,1,,Tiruchirappalli,10.80999778,78.68996659,1,0,1
"Washington, D.C.",38.89954938,-77.00941858,Dubai,25.22999615,55.27997432,"Washington, D.C. to Dubai",1,,Dodoma,-6.183306052,35.75000362,1,1,2
Bujumbura,-3.37608722,29.36000606,Brussels,50.83331708,4.333316608,Bujumbura to Brussels,1,,Port Louis,-20.16663857,57.49999385,3,2,5
Brussels,50.83331708,4.333316608,Prague,50.08333701,14.46597978,Brussels to Prague,1,,St. Petersburg,59.93901451,30.31602006,1,2,3
Bangalore,12.96999514,77.56000972,Bangkok,13.74999921,100.5166447,Bangalore to Bangkok,1,,Davao,7.110016906,125.6299955,1,0,1
Chennai,13.08998781,80.27999874,Colombo,6.931965758,79.85775061,Chennai to Colombo,1,,Madurai,9.920026264,78.12002722,1,0,1
Cairo,30.04996035,31.24996822,Dubai,25.22999615,55.27997432,Cairo to Dubai,1,,Sri Jayawardenepura Kotte,6.900003885,79.94999304,1,1,2
Rabat,34.02529909,-6.83613082,Abu Dhabi,24.46668357,54.36659338,Rabat to Abu Dhabi,1,,Dar es Salaam,-6.800012595,39.26834184,1,0,1
Moscow,55.75216412,37.61552283,Dubai,25.22999615,55.27997432,Moscow to Dubai,1,,Dubai,25.22999615,55.27997432,1,20,21
Dakar,14.71583173,-17.47313013,Dubai,25.22999615,55.27997432,Dakar to Dubai,1,,Hanoi,21.03332725,105.8500142,1,3,4
Orlando,28.50997683,-81.38003036,Brasilia,-15.78334023,-47.91605229,Orlando to Brasilia,1,,Manila,14.60415895,120.9822172,1,0,1
Bangkok,13.74999921,100.5166447,Mumbai,19.01699038,72.8569893,Bangkok to Mumbai,1,,Jayapura,-2.532986228,140.69998,1,1,2
Bangkok,13.74999921,100.5166447,New Delhi,28.60002301,77.19998002,Bangkok to New Delhi,1,,Conakry,9.531522846,-13.68023503,1,0,1
New Delhi,28.60002301,77.19998002,Dubai,25.22999615,55.27997432,New Delhi to Dubai,1,,Leticia,-4.220015036,-69.93997929,1,0,1
Chennai,13.08998781,80.27999874,Mumbai,19.01699038,72.8569893,Chennai to Mumbai,1,,Faisalabad,31.40998069,73.10999711,1,0,1
Hong Kong,22.3049809,114.1850093,Beijing,39.92889223,116.3882857,Hong Kong to Beijing,1,,Tunis,36.80277814,10.1796781,1,1,2
Timika,-4.549607321,136.88998,Jakarta,-6.174417705,106.8294376,Timika to Jakarta,1,,Houston,29.81997438,-95.33997929,0,2,2
Islamabad,33.69999595,73.16663448,Bangkok,13.74999921,100.5166447,Islamabad to Bangkok,1,,Denpasar,-8.650028871,115.2199849,0,2,2
Mumbai,19.01699038,72.8569893,Hong Kong,22.3049809,114.1850093,Mumbai to Hong Kong,1,,Surabaya,-7.249235821,112.7508333,0,2,2
Kolkata,22.4949693,88.32467566,Chennai,13.08998781,80.27999874,Kolkata to Chennai,1,,Shanghai,31.21645245,121.4365047,0,4,4
Mexico City,19.44244244,-99.1309882,Tokyo,35.68501691,139.7514074,Mexico City to Tokyo,1,,Florida,-34.09900201,-56.21499845,0,1,1
Guangzhou,23.1449813,113.3250101,Singapore,1.293033466,103.8558207,Guangzhou to Singapore,1,,Taipei,25.03583333,121.5683333,0,2,2
Singapore,1.293033466,103.8558207,Kolkata,22.4949693,88.32467566,Singapore to Kolkata,1,,Los Angeles,-37.46000161,-72.35998661,0,2,2
Lome,6.131937072,1.222757119,Brussels,50.83331708,4.333316608,Lome to Brussels,1,,Edmonton,53.55002464,-113.4999819,0,1,1
Villahermosa,17.99997235,-92.89997319,Merida,20.96663881,-89.61663355,Villahermosa to Merida,1,,Honolulu,21.30687644,-157.8579979,0,1,1
Managua,12.15301658,-86.26849166,Amsterdam,52.34996869,4.916640176,Managua to Amsterdam,1,,Munich,48.12994204,11.57499345,0,3,3
Hong Kong,22.3049809,114.1850093,Shanghai,31.21645245,121.4365047,Hong Kong to Shanghai,1,,Rome,41.89595563,12.48325842,0,1,1
Jakarta,-6.174417705,106.8294376,London,51.49999473,-0.116721844,Jakarta to London,1,,Tehran,35.67194277,51.42434403,0,1,1
Georgetown,6.801973693,-58.16702865,Ankara,39.92723859,32.86439164,Georgetown to Ankara,1,,Brasilia,-15.78334023,-47.91605229,0,2,2
Ankara,39.92723859,32.86439164,Ottawa,45.4166968,-75.7000153,Ankara to Ottawa,1,,Prague,50.08333701,14.46597978,0,2,2
Ottawa,45.4166968,-75.7000153,Amsterdam,52.34996869,4.916640176,Ottawa to Amsterdam,1,,Merida,20.96663881,-89.61663355,0,1,1
Amsterdam,52.34996869,4.916640176,Kiev,50.43336733,30.51662797,Amsterdam to Kiev,1,,Kiev,50.43336733,30.51662797,0,1,1
Doha,25.28655601,51.53296789,Hong Kong,22.3049809,114.1850093,Doha to Hong Kong,1,,Vienna,48.20001528,16.36663896,0,1,1
Yaounde,3.866700662,11.51665076,Brussels,50.83331708,4.333316608,Yaounde to Brussels,1,,Tel Aviv,32.07999147,34.77001176,0,1,1
Brussels,50.83331708,4.333316608,Vienna,48.20001528,16.36663896,Brussels to Vienna,1,,Dusseldorf,51.22037355,6.779988972,0,3,3
New York,40.74997906,-73.98001693,Tel Aviv,32.07999147,34.77001176,New York to Tel Aviv,1,,Barcelona,41.38329958,2.183370319,0,1,1
Nassau,25.08339012,-77.35004378,London,51.49999473,-0.116721844,Nassau to London,1,,Guanajuato,21.02040814,-101.2799785,0,1,1
London,51.49999473,-0.116721844,Dusseldorf,51.22037355,6.779988972,London to Dusseldorf,1,,Mexicali,32.64998252,-115.4800161,0,1,1
Antananarivo,-18.91663735,47.5166239,Johannesburg,-26.17004474,28.03000972,Antananarivo to Johannesburg,1,,Vientiane,17.96669273,102.59998,0,1,1
Johannesburg,-26.17004474,28.03000972,Abu Dhabi,24.46668357,54.36659338,Johannesburg to Abu Dhabi,1,,Phuket,7.876533426,98.3815295,0,1,1
Abu Dhabi,24.46668357,54.36659338,Moscow,55.75216412,37.61552283,Abu Dhabi to Moscow,1,,Caloocan,14.7566,121.045,0,1,1
Antananarivo,-18.91663735,47.5166239,Moscow,55.75216412,37.61552283,Antananarivo to Moscow,1,,Tijuana,32.50001752,-117.079996,0,1,1
Thiruvananthapuram,8.499983743,76.95002112,Colombo,6.931965758,79.85775061,Thiruvananthapuram to Colombo,1,,Bologna,44.50042198,11.34002071,0,1,1
Colombo,6.931965758,79.85775061,Bangkok,13.74999921,100.5166447,Colombo to Bangkok,1,,Lyon,45.77000856,4.830030475,0,1,1
Mexico City,19.44244244,-99.1309882,Frankfurt,50.09997683,8.67501542,Mexico City to Frankfurt,1,,Kathmandu,27.71669191,85.31664221,0,1,1
Frankfurt,50.09997683,8.67501542,Barcelona,41.38329958,2.183370319,Frankfurt to Barcelona,1,,Nuevo Laredo,27.4999868,-99.55000655,0,1,1
Grande Comore,11.7167,43.3681,Dodoma,-6.183306052,35.75000362,Grande Comore to Dodoma,1,,,,,,,
Berlin,52.52181866,13.40154862,St. Petersburg,59.93901451,30.31602006,Berlin to St. Petersburg,1,,,,,,,
Gran Canaria,-27.9332,15.3877,Madrid,40.40002626,-3.683351686,Gran Canaria to Madrid,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Paris,48.86669293,2.333335326,Jakarta to Paris,1,,,,,,,
Mexico City,19.44244244,-99.1309882,San Luis Potosi,22.16997622,-100.9999956,Mexico City to San Luis Potosi,1,,,,,,,
San Luis Potosi,22.16997622,-100.9999956,Guanajuato,21.02040814,-101.2799785,San Luis Potosi to Guanajuato,1,,,,,,,
San Luis Potosi,22.16997622,-100.9999956,Guadalajara,20.67001609,-103.3300342,San Luis Potosi to Guadalajara,1,,,,,,,
San Luis Potosi,22.16997622,-100.9999956,Mexicali,32.64998252,-115.4800161,San Luis Potosi to Mexicali,1,,,,,,,
Guadalajara,20.67001609,-103.3300342,Beijing,39.92889223,116.3882857,Guadalajara to Beijing,1,,,,,,,
Beirut,33.87197512,35.50970821,Frankfurt,50.09997683,8.67501542,Beirut to Frankfurt,1,,,,,,,
Beijing,39.92889223,116.3882857,Munich,48.12994204,11.57499345,Beijing to Munich,1,,,,,,,
Guadalajara,20.67001609,-103.3300342,Hong Kong,22.3049809,114.1850093,Guadalajara to Hong Kong,1,,,,,,,
Panama City,8.96801719,-79.53303715,Dusseldorf,51.22037355,6.779988972,Panama City to Dusseldorf,1,,,,,,,
Lahore,31.55997154,74.35002478,Karachi,24.86999229,66.99000891,Lahore to Karachi,1,,,,,,,
Karachi,24.86999229,66.99000891,Bangkok,13.74999921,100.5166447,Karachi to Bangkok,1,,,,,,,
Detroit,42.32996014,-83.08005579,Beijing,39.92889223,116.3882857,Detroit to Beijing,1,,,,,,,
Panama City,8.96801719,-79.53303715,Berlin,52.52181866,13.40154862,Panama City to Berlin,1,,,,,,,
Antananarivo,-18.91663735,47.5166239,Paris,48.86669293,2.333335326,Antananarivo to Paris,1,,,,,,,
Paris,48.86669293,2.333335326,Vientiane,17.96669273,102.59998,Paris to Vientiane,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Singapore,1.293033466,103.8558207,Jakarta to Singapore,1,,,,,,,
Bangkok,13.74999921,100.5166447,Tokyo,35.68501691,139.7514074,Bangkok to Tokyo,1,,,,,,,
Tiruchirappalli,10.80999778,78.68996659,Kuala Lumpur,3.166665872,101.6999833,Tiruchirappalli to Kuala Lumpur,1,,,,,,,
Kuala Lumpur,3.166665872,101.6999833,Bangkok,13.74999921,100.5166447,Kuala Lumpur to Bangkok,1,,,,,,,
Dodoma,-6.183306052,35.75000362,London,51.49999473,-0.116721844,Dodoma to London,1,,,,,,,
Port Louis,-20.16663857,57.49999385,St. Petersburg,59.93901451,30.31602006,Port Louis to St. Petersburg,1,,,,,,,
St. Petersburg,59.93901451,30.31602006,Dusseldorf,51.22037355,6.779988972,St. Petersburg to Dusseldorf,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Doha,25.28655601,51.53296789,Jakarta to Doha,1,,,,,,,
Doha,25.28655601,51.53296789,Moscow,55.75216412,37.61552283,Doha to Moscow,1,,,,,,,
Antananarivo,-18.91663735,47.5166239,Taipei,25.03583333,121.5683333,Antananarivo to Taipei,1,,,,,,,
Khartoum,15.58807823,32.53417924,Beijing,39.92889223,116.3882857,Khartoum to Beijing,1,,,,,,,
Kuala Lumpur,3.166665872,101.6999833,Phuket,7.876533426,98.3815295,Kuala Lumpur to Phuket,1,,,,,,,
Davao,7.110016906,125.6299955,Caloocan,14.7566,121.045,Davao to Caloocan,1,,,,,,,
Dhaka,23.72305971,90.40857947,Hanoi,21.03332725,105.8500142,Dhaka to Hanoi,1,,,,,,,
Bangalore,12.96999514,77.56000972,New Delhi,28.60002301,77.19998002,Bangalore to New Delhi,1,,,,,,,
New Delhi,28.60002301,77.19998002,Kuala Lumpur,3.166665872,101.6999833,New Delhi to Kuala Lumpur,1,,,,,,,
Port Louis,-20.16663857,57.49999385,Kuala Lumpur,3.166665872,101.6999833,Port Louis to Kuala Lumpur,1,,,,,,,
Madurai,9.920026264,78.12002722,Sri Jayawardenepura Kotte,6.900003885,79.94999304,Madurai to Sri Jayawardenepura Kotte,1,,,,,,,
Sri Jayawardenepura Kotte,6.900003885,79.94999304,Kuala Lumpur,3.166665872,101.6999833,Sri Jayawardenepura Kotte to Kuala Lumpur,1,,,,,,,
New Delhi,28.60002301,77.19998002,Hong Kong,22.3049809,114.1850093,New Delhi to Hong Kong,1,,,,,,,
Guadalajara,20.67001609,-103.3300342,Tijuana,32.50001752,-117.079996,Guadalajara to Tijuana,1,,,,,,,
Dar es Salaam,-6.800012595,39.26834184,Dubai,25.22999615,55.27997432,Dar es Salaam to Dubai,1,,,,,,,
Dubai,25.22999615,55.27997432,Kuala Lumpur,3.166665872,101.6999833,Dubai to Kuala Lumpur,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Shanghai,31.21645245,121.4365047,Jakarta to Shanghai,1,,,,,,,
Guangzhou,23.1449813,113.3250101,Bangkok,13.74999921,100.5166447,Guangzhou to Bangkok,1,,,,,,,
Johannesburg,-26.17004474,28.03000972,Hanoi,21.03332725,105.8500142,Johannesburg to Hanoi,1,,,,,,,
Hanoi,21.03332725,105.8500142,Beijing,39.92889223,116.3882857,Hanoi to Beijing,1,,,,,,,
Manila,14.60415895,120.9822172,Tokyo,35.68501691,139.7514074,Manila to Tokyo,1,,,,,,,
Lahore,31.55997154,74.35002478,Colombo,6.931965758,79.85775061,Lahore to Colombo,1,,,,,,,
Timika,-4.549607321,136.88998,Jayapura,-2.532986228,140.69998,Timika to Jayapura,1,,,,,,,
Jayapura,-2.532986228,140.69998,Jakarta,-6.174417705,106.8294376,Jayapura to Jakarta,1,,,,,,,
Conakry,9.531522846,-13.68023503,Rabat,34.02529909,-6.83613082,Conakry to Rabat,1,,,,,,,
Rabat,34.02529909,-6.83613082,Bologna,44.50042198,11.34002071,Rabat to Bologna,1,,,,,,,
Leticia,-4.220015036,-69.93997929,"Washington, D.C.",38.89954938,-77.00941858,"Leticia to Washington, D.C.",1,,,,,,,
Antananarivo,-18.91663735,47.5166239,Ankara,39.92723859,32.86439164,Antananarivo to Ankara,1,,,,,,,
Ankara,39.92723859,32.86439164,Moscow,55.75216412,37.61552283,Ankara to Moscow,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Kuala Lumpur,3.166665872,101.6999833,Jakarta to Kuala Lumpur,1,,,,,,,
Faisalabad,31.40998069,73.10999711,Doha,25.28655601,51.53296789,Faisalabad to Doha,1,,,,,,,
Doha,25.28655601,51.53296789,Kuala Lumpur,3.166665872,101.6999833,Doha to Kuala Lumpur,1,,,,,,,
Yamoussoukro,6.81838096,-5.275502565,Tunis,36.80277814,10.1796781,Yamoussoukro to Tunis,1,,,,,,,
Tunis,36.80277814,10.1796781,Lyon,45.77000856,4.830030475,Tunis to Lyon,1,,,,,,,
Antananarivo,-18.91663735,47.5166239,Mumbai,19.01699038,72.8569893,Antananarivo to Mumbai,1,,,,,,,
Mumbai,19.01699038,72.8569893,Kathmandu,27.71669191,85.31664221,Mumbai to Kathmandu,1,,,,,,,
Mexico City,19.44244244,-99.1309882,Nuevo Laredo,27.4999868,-99.55000655,Mexico City to Nuevo Laredo,1,,,,,,,
Port Louis,-20.16663857,57.49999385,Singapore,1.293033466,103.8558207,Port Louis to Singapore,1,,,,,,,
Antananarivo,-18.91663735,47.5166239,Singapore,1.293033466,103.8558207,Antananarivo to Singapore,1,,,,,,,
Nairobi,-1.283346742,36.81665686,Hong Kong,22.3049809,114.1850093,Nairobi to Hong Kong,1,,,,,,,
